Date (MM/DD/YYYY),Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),Date
01/12/2018,DFW,97.0,7.0,0.0,0.0,0.0,84.0,2018-01-12
01/12/2018,MIA,74.0,2.0,0.0,0.0,0.0,77.0,2018-01-12
01/12/2018,ORD,39.0,0.0,0.0,0.0,0.0,55.0,2018-01-12
01/12/2018,PHX,12.0,0.0,0.0,0.0,0.0,0.0,2018-01-12
01/12/2019,CLT,258.0,0.0,0.0,0.0,0.0,264.0,2019-01-12
01/12/2019,DFW,19.0,18.0,0.0,0.0,0.0,0.0,2019-01-12
01/12/2019,MIA,-14.0,0.0,0.0,0.0,0.0,0.0,2019-01-12
01/12/2019,ORD,8.0,0.0,0.0,18.0,0.0,6.0,2019-01-12
01/12/2019,PHX,-1.0,0.0,0.0,0.0,0.0,0.0,2019-01-12
01/13/2017,CLT,63.0,0.0,0.0,0.0,0.0,18.0,2017-01-13
01/13/2017,DFW,12.0,0.0,0.0,18.0,0.0,21.0,2017-01-13
01/13/2017,MIA,-12.0,0.0,0.0,15.0,0.0,0.0,2017-01-13
01/13/2017,ORD,13.0,0.0,0.0,14.0,0.0,13.0,2017-01-13
01/13/2017,PHX,-9.0,0.0,0.0,0.0,0.0,0.0,2017-01-13
01/13/2018,CLT,-21.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2018,DFW,-6.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2018,MIA,-3.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2018,ORD,-7.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2018,PHX,6.0,0.0,0.0,0.0,0.0,0.0,2018-01-13
01/13/2019,CLT,33.0,0.0,0.0,0.0,0.0,55.0,2019-01-13
01/13/2019,DFW,-12.0,0.0,0.0,0.0,0.0,0.0,2019-01-13
01/13/2019,MIA,-9.0,0.0,0.0,0.0,0.0,0.0,2019-01-13
01/13/2019,ORD,-23.0,0.0,0.0,0.0,0.0,0.0,2019-01-13
01/13/2019,PHX,-18.0,0.0,0.0,0.0,0.0,0.0,2019-01-13
01/14/2017,CLT,-28.0,0.0,0.0,0.0,0.0,0.0,2017-01-14
01/14/2017,DFW,0.0,0.0,0.0,0.0,0.0,0.0,2017-01-14
01/14/2017,MIA,-10.0,0.0,0.0,0.0,0.0,0.0,2017-01-14
01/14/2017,ORD,-1.0,0.0,0.0,0.0,0.0,0.0,2017-01-14
01/14/2017,PHX,14.0,13.0,0.0,14.0,0.0,0.0,2017-01-14
01/14/2018,CLT,-30.0,0.0,0.0,0.0,0.0,0.0,2018-01-14
01/14/2018,DFW,-29.0,0.0,0.0,0.0,0.0,0.0,2018-01-14
01/14/2018,MIA,-15.0,0.0,0.0,0.0,0.0,0.0,2018-01-14
01/14/2018,ORD,-18.0,0.0,0.0,0.0,0.0,0.0,2018-01-14
01/14/2018,PHX,52.0,0.0,0.0,30.0,0.0,0.0,2018-01-14
01/14/2019,CLT,-38.0,0.0,0.0,0.0,0.0,0.0,2019-01-14
01/14/2019,DFW,32.0,0.0,0.0,0.0,0.0,38.0,2019-01-14
01/14/2019,MIA,-16.0,0.0,0.0,0.0,0.0,0.0,2019-01-14
01/14/2019,ORD,-8.0,0.0,0.0,0.0,0.0,0.0,2019-01-14
01/14/2019,PHX,-18.0,0.0,0.0,0.0,0.0,0.0,2019-01-14
01/15/2017,CLT,9.0,0.0,0.0,0.0,0.0,0.0,2017-01-15
01/15/2017,DFW,3.0,5.0,0.0,10.0,0.0,0.0,2017-01-15
01/15/2017,MIA,-18.0,0.0,0.0,0.0,0.0,0.0,2017-01-15
01/15/2017,ORD,-10.0,0.0,0.0,0.0,0.0,0.0,2017-01-15
01/15/2017,PHX,-12.0,0.0,0.0,0.0,0.0,0.0,2017-01-15
01/15/2018,CLT,-24.0,0.0,0.0,0.0,0.0,0.0,2018-01-15
01/15/2018,DFW,24.0,1.0,0.0,1.0,0.0,42.0,2018-01-15
01/15/2018,MIA,36.0,0.0,0.0,0.0,0.0,25.0,2018-01-15
01/15/2018,ORD,56.0,0.0,0.0,81.0,0.0,0.0,2018-01-15
01/15/2018,PHX,84.0,0.0,0.0,41.0,0.0,0.0,2018-01-15
01/15/2019,CLT,-39.0,0.0,0.0,0.0,0.0,0.0,2019-01-15
01/15/2019,DFW,-5.0,0.0,0.0,0.0,0.0,0.0,2019-01-15
01/15/2019,MIA,153.0,88.0,0.0,2.0,0.0,30.0,2019-01-15
01/15/2019,ORD,-26.0,0.0,0.0,0.0,0.0,0.0,2019-01-15
01/15/2019,PHX,-12.0,0.0,0.0,0.0,0.0,0.0,2019-01-15
01/16/2017,CLT,7.0,0.0,0.0,0.0,0.0,0.0,2017-01-16
01/16/2017,DFW,13.0,2.0,0.0,0.0,0.0,18.0,2017-01-16
01/16/2017,MIA,-12.0,0.0,0.0,0.0,0.0,0.0,2017-01-16
01/16/2017,ORD,-9.0,0.0,0.0,28.0,0.0,0.0,2017-01-16
01/16/2017,PHX,30.0,23.0,0.0,0.0,0.0,0.0,2017-01-16
01/16/2018,CLT,-35.0,0.0,0.0,0.0,0.0,0.0,2018-01-16
